constitute,構成する
reinforce,強化する
resort,訴える
donate,寄付する
obey,従う
dedicate,ささげる
transmit,伝える
equip,装備する
bind,縛る
pose,投げかける
pause,休止する
hesitate,ためらう、躊躇する
split,分割する
bend,曲げる
tap,軽くたたく
boil,沸かす
bow,おじぎする
conceal,隠す
dispose,を処分する
cheat,だます
distract,（注意など）をそらす
exclude,締め出す
astonish,驚かせる
thrill,わくわくさせる
leap,跳ぶ
postpone,延期する
dismiss,解雇する
resign,辞める
withdraw,退く
fade,消えていく
vanish,消え失せる
continent,大陸
geography,地理、地理学
ecology,生態系
inhabitant,住民
suburb,郊外
furniture,家具
refrigerator,冷蔵庫
garbage,(生）ごみ
trash,ごみ
litter,(公共の場での)ごみ
trace,名残；（通った）跡
row,列
core,核心、中心
orbit,軌道
galaxy,銀河
myth,神話
faith,信頼
wisdom,知恵
obligation,義務
privilege,特典、特権
discrimination,差別
ambition,願望
illusion,錯覚
instinct,本能
shame,残念なこと
humor,ユーモア
courage,勇気
sympathy,同情、共感
tragedy,悲惨な出来事
fate,運命
destiny,運命
abuse,乱用する
wound,傷
fever,熱
infection,伝染病
brave,勇敢な
brilliant,すばらしい
gentle,優しい
noble,高貴な
royal,王室の
sacred,神聖な
holy,神聖な
decent,きちんとした
grateful,感謝している
fond,好む
selfish,自分勝手な
awkward,厄介な，ぎこちない
awful,ひどい
ultimate,最終的な
dynamic,活動的な
tremendous,とてつもない
abundant,豊富な
dull,退屈な
urgent,緊急の
spare,余分の
tight,きつい
shallow,浅い
superficial,浅はかな
whisper,ささやく
yell,叫ぶ
scream,叫び声をあげる
nod,うなずく
swallow,飲み込む
yawn,あくびをする
cough,咳をする
hug,抱きしめる
sweep,掃く
polish,磨く
decorate,装飾する
shed,（涙）を流す
drag,引きずる
spoil,台無しにする
burst,破裂する
explode,爆発する
compromise,妥協する
exaggerate,誇張する
exploit,搾取する
utilize,利用する
irritate,いらいらさせる
insult,侮辱する
deceive,だます
violate,違反する
disgust,嫌悪感を持たせる
endure,我慢する
tolerate,耐える
suspend,一時停止する
cease,やめる
appoint,任命する
undertake,引き受ける
overtake,追いつく
proceed,移る
commute,通勤[通学]する
flourish,繁盛する；繁殖する
thrive,栄える
venture,思い切って行く
accustom,慣れさせる
rear,育てる
inherit,相続する
blossom,開花する
esteem,尊敬する
merchant,商人
fare,運賃
voyage,航海
crew,乗組員
luggage,手荷物
horizon,水平線、地平線
lightning,稲妻
dawn,夜明け
astronomy,【名】天文学
statistics,統計
dimension,局面
faculty,才能
scheme,計画
viewpoint,見地
output,生産高
outlook,見通し
tuition,授業料
proverb,ことわざ
biography,伝記
narrative,話
chapter,章
string,ひも、糸
tag,札
peasant,小作農
livestock,家畜
famine,飢饉
fatigue,疲労
motive,動機
sweat,汗
peer,同僚
glance,ちらりと見る
glimpse,ちらりと見えること
luxury,ぜいたく（品）
prosperity,繁栄
fame,名声
keen,熱中して
inclined,（…し）たいと思う(to do)
competent,有能な
superior,優れている
inferior,劣った
cruel,残酷な
indifferent,無関心な
ashamed,恥じて
bold,大胆な
ridiculous,ばかげた
ugly,醜い
pale,青白い
male,男の
manual,手による
mutual,相互の
delicate,取り扱いの難しい
deliberate,故意の
gradual,徐々の
loose,緩い
bitter,苦い、つらい
mild,温暖な
dense,密集した
tense,張り詰めた
conceive,を抱く、思いつく
confess,を告白する
conform,従う
offend,を怒らせる
envy,をうらやむ
boast,自慢する
dare,あえてする、する勇気がある
confine,を限定する
contradict,と矛盾する
compensate,に補償する
coincide,同時に起こる
assure,に安心させる
attain,を達成する
inquire,を尋ねる
invade,を侵略する、に侵攻する
conquer,を征服する
persist,固執する、しつこく続ける
last,続く
surrender,を引き渡す
betray,を裏切る、を漏らす
strain,をぴんと張る、を痛める
refrain,控える
scatter,をまき散らす
spill,をこぼす
prevail,普及する、勝る
starve,飢えに苦しむ、渇望する
digest,を消化する
disguise,を変装させる
strip,から?奪する、取り去る
scratch,をかく
bathe,を入浴させる
soak,を浸す
stir,をかき回す、呼び起こす
wind,曲がりくねる
heal,を治す、癒す
knit,を編む
sew,を縫いつける
dye,を染める
beg,を懇願する、請う
pray,祈る
congratulate,に祝いの言葉を述べる
summit,頂上
mayor,市長
secretary,秘書
council,議会
panel,委員会
jury,陪審
quarrel,口論
divorce,離婚
thief,泥棒
refuge,避難
mercy,情け、慈悲
caution,用心、注意
pity,残念なこと
sorrow,悲しみ
grief,深い悲しみ
despair,絶望
suicide,自殺
ambulance,救急車
funeral,葬式
grave,墓
virtue,美徳
legend,伝説
prestige,威信、名声
glory,栄光
dignity,尊厳
worship,崇拝
criterion,基準
consent,承諾、同意
triumph,勝利
circulation,血行、発行部数
merit,優秀さ、長所
appetite,食欲、欲求
nutrition,栄養摂取
decay,虫歯、衰退、荒廃
atom,原子
boom,好況、ブーム
valid,正当な証拠のある、有効な
due,予定で、締め切りの
vacant,空いている
bare,裸の
naked,裸の
obscure,わかりにくい
peculiar,特有の
tidy,整然とした、きれいにしてある
minute,微小な
vague,漠然とした
steep,急な
humid,湿気のある
earnest,真剣な、本気の
absurd,ばかげた
hostile,反感を持った、敵意のある
idle,使われていない、仕事がない
jealous,嫉妬深い
loyal,忠実な
supreme,最高の、最大の
infinite,無限の
static,変化のない
thorough,徹底的な
immense,計り知れない
